Code,Semester,Average
ECO220,Summer 2020,B-
ECO204,Fall 2020 - Winter 2021,C+
RSM220,Fall 2020,B
MAT136,Winter 2022,B-
RSM222,Fall 2020,B
MAT135,Fall 2021,B-
CHM135,Fall 2021,B
BIO120,Fall 2021,B
BIO130,Fall 2021,B
TRN135,Fall 2021/ Winter 2022,A-
TRN136,Fall 2021/ Winter 2022,A-
RSM225,Fall 2020,B
RSM221,Winter 2021,B
CHM136,Fall 2021,B
HMB265,Fall 2022,C+
BCH210,Fall 2022,C+
PSL300,Fall 2022,C+
HMB203,Winter 2023,B
PSY100,Fall 2022,C+
BIO230,Fall 2022,B
RSM260,Winter 2021,B+
BIO220,Winter 2023,B-
IMM250,Winter 2023,B+
PHL281,Winter 2023,B-
PSL301,Winter 2023,B-
SDS279,Winter 2021,A-
AST101,Summer 2021,B
AST201,Summer 2021,B-
ECO320,Fall 2021,B
NFS284,Fall 2021,B+
RSM320,Fall 2021,B+
RSM324,Fall 2021,B+
RSM332,Fall 2021,B+
RSM270,Winter 2022,B+
RSM321,Winter 2022,B-
RSM323,Winter 2022,B+
RSM333,Winter 2022,B
NMC101,Fall 2022,B
PCL200,Fall 2022,B
RSM326,Fall 2022,B+
RSM392,Fall 2022,B+
RSM420,Winter 2023,B+
RSM422,Winter 2023,B+
RSM424,Winter 2023,B+
RSM426,Winter 2023,B+
CHMA10,Fall 2021,B
HLTA02,Fall 2021,B
MATA29,Fall 2021,B
BIOA01,Fall 2021,B-
PHYA11,Fall 2021,B-
PHYD37,Fall 2021,B-
CSCD18,Fall 2021,C+
PHYC54,Fall 2021,D+
CHM211,Fall 2021,B
CHM231,Fall 2021,B-
CHM242,Fall 2021,C
CSC108,Fall 2021,C+
RLG204,Fall 2021,A-
STA220,Fall 2021,B
STA215,Fall 2021,C+
BIO203,Fall 2021,B-
BIO205,Fall 2021,B
BIO206,Fall 2021,B-
STA256,Fall 2021,C-
BIO374,Fall 2021,A-
ACT230,Fall 2021,D+
ACT240,Fall 2021,C
ACT348,Fall 2021,C+
ACT349,Fall 2021,B+
ACT350,Fall 2021,B-
APS110,Fall 2021,B
APS111,Fall 2021,B
AST101,Fall 2021,B+
AST221,Fall 2021,B-
BCH210,Fall 2021,B
BCH428,Fall 2021,A-
BIO120,Fall 2021,B
BIO230,Fall 2021,B
BPM335,Fall 2021,B+
CHM135,Fall 2021,B
CHM220,Fall 2021,B+
CHM327,Fall 2021,A-
CHM410,Fall 2021,B
CIV100,Fall 2021,C+
CLA160,Fall 2021,B
CLA204,Fall 2021,B+
CSB328,Fall 2021,B+
CSB349,Fall 2021,A-
CSC108,Fall 2021,B
CSC207,Fall 2021,A-
CSC236,Fall 2021,A+
CSC263,Fall 2021,C+
CSC300,Fall 2021,A-
CSE240,Fall 2021,B-
DHU235,Fall 2021,B
ECO101,Fall 2021,C+
ECO358,Fall 2021,B-
ENG289,Fall 2021,B
ENT200,Fall 2021,B-
ENV100,Fall 2021,B-
ENV221,Fall 2021,C+
ENV440,Fall 2021,B
FAH199,Fall 2021,A
FAH231,Fall 2021,B-
FAH245,Fall 2021,B
FAH246,Fall 2021,B
FAH272,Fall 2021,B
FAH354,Fall 2021,B-
HIS264,Fall 2021,C+
HIS369,Fall 2021,B+
HMB265,Fall 2021,C+
HMB301,Fall 2021,B+
HMB302,Fall 2021,B+
HMB303,Fall 2021,B+
HMB430,Fall 2021,B+
HMB450,Fall 2021,B+
HPS110,Fall 2021,B+
HPS300,Fall 2021,B-
HPS322,Fall 2021,B-
HST209,Fall 2021,B
HST440,Fall 2021,A-
IMM250,Fall 2021,B+
IMM340,Fall 2021,B+
IMM429,Fall 2021,A-
IMM435,Fall 2021,A-
JFP450,Fall 2021,B+
JLP374,Fall 2021,B
JNH350,Fall 2021,B
LIN101,Fall 2021,C+
MAT135,Fall 2021,B-
MAT138,Fall 2021,B
MAT186,Fall 2021,B
MAT188,Fall 2021,B-
MAT223,Fall 2021,B
MAT231,Fall 2021,A-
MAT240,Fall 2021,B-
MAT244,Fall 2021,B
MAT334,Fall 2021,B-
MAT337,Fall 2021,C-
MAT354,Fall 2021,B
MGY277,Fall 2021,A-
MGY340,Fall 2021,B+
MIE236,Fall 2021,B+
MIE242,Fall 2021,B
MIE250,Fall 2021,C+
MIE256,Fall 2021,C+
NEW103,Fall 2021,B+
NFS284,Fall 2021,B+
NFS387,Fall 2021,B+
PCL302,Fall 2021,B
PCL362,Fall 2021,C
PCL470,Fall 2021,B
PHL233,Fall 2021,C+
PHL245,Fall 2021,B-
PHL342,Fall 2021,B
PHY131,Fall 2021,B-
PHY151,Fall 2021,B-
PHY224,Fall 2021,B+
POL101,Fall 2021,B
POL107,Fall 2021,B
PSL300,Fall 2021,B
PSL372,Fall 2021,B
PSY100,Fall 2021,B-
PSY201,Fall 2021,B-
PSY210,Fall 2021,B+
PSY240,Fall 2021,B-
PSY280,Fall 2021,B+
PSY311,Fall 2021,B-
PSY322,Fall 2021,B
PSY370,Fall 2021,B
RLG303,Fall 2021,B
RLG318,Fall 2021,B+
RSM100,Fall 2021,B-
RSM219,Fall 2021,A-
RSM220,Fall 2021,B
RSM222,Fall 2021,B
RSM250,Fall 2021,B+
SOC100,Fall 2021,C+
SOC265,Fall 2021,B-
STA130,Fall 2021,B+
STA220,Fall 2021,C+
STA237,Fall 2021,B+
STA247,Fall 2021,B
STA302,Fall 2021,B-
WDW196,Fall 2021,B+
WGS373,Fall 2021,B+
ACT230,Fall 2021,D+
ACT240,Fall 2021,C
ACT348,Fall 2021,C+
ACT349,Fall 2021,B+
